Finanslov;År;I alt omsætning (mio kr);Tilskud i alt § 1922;Uddannelsestilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Internationaliseringstilskud;Småfagstilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Administrative effektiviseringer;Basistilskud;Forskning;Øvrige formål;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Myndighedsbetjening;- heraf forskning;Driftsindtægter;Andre tilskud
R;2012;2887;1857;886;780;91;6;1;8;15;-15;971;876;95;1030;145;553;19;6;201;112
R;2013;3009;1934;973;881;91;6;1;7;17;-30;961;875;86;1075;133;612;24;6;193;113
R;2014;2993;1999;1042;941;104;5;1;7;14;-30;957;875;82;994;44;629;23;6;192;106
R;2015;3078;2079;1122;994;132;6;1;7;12;-30;957;873;84;999;38;637;25;6;211;88
R;2016;3173;2183;1218;1114;107;6;1;7;13;-30;965;877;88;990;52;620;26;6;207;85
B;2017;3230;2229;1270;1155;121;4;1;6;13;-30;959;882;77;1001;36;632;23;6;214;96
F;2018;3135;2152;1186;1074;119;4;1;6;12;-30;966;886;80;983;32;608;20;4;225;98
BO1;2019;3112;2124;1155;1009;154;4;1;6;11;-30;969;892;77;988;32;617;20;4;221;98
BO2;2020;3040;2051;1077;908;178;4;1;5;11;-30;974;896;78;989;31;623;20;4;218;97
BO3;2021;2937;1948;1056;891;174;4;1;5;11;-30;892;815;77;989;31;623;20;4;218;97
