Finanslov;År;I alt omsætning (mio kr);Tilskud i alt § 1922;Uddannelsestilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Internationaliseringstilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Administrative effektiviseringer;Basistilskud;Forskning;Øvrige formål;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Driftsindtægter;Andre tilskud
R;2012;816;651;356;304;45;2;3;7;-5;295;249;46;165;10.0;102;40;13
R;2013;830;675;377;321;42;2;3;19;-10;298;257;41;155;9.0;91;41;14
R;2014;812;662;361;321;40;2;3;5;-10;301;259;42;150;10.0;100;31;9
R;2015;803;661;358;313;42;2;3;8;-10;303;260;43;142;11.0;100;23;8
R;2016;796;658;354;314;41;1;2;6;-10;304;263;41;138;16.0;64;48;10
B;2017;807;672;369;327;35;1;2;14;-10;303;264;39;135;8.0;76;46;5
F;2018;776;652;351;320;34;1;2;4;-10;301;263;38;124;;74;45;5
BO1;2019;768;644;345;305;43;1;2;4;-10;299;262;37;124;;74;45;5
BO2;2020;741;617;319;273;50;1;2;3;-10;298;261;37;124;;74;45;5
BO3;2021;713;589;314;268;50;1;2;3;-10;275;239;36;124;;74;45;5
